url,title,price,registration_yr,insurance,fuel_type,seats,km_driven,ownership,engine_displacement,transmission,manufacture_yr
https://www.cardekho.com/used-car-details/used-Volkswagen-taigun-15-tsi-gt-plus-dsg-es-cars-New-Delhi_47292996-ceb5-4be8-a885-f0e3f06b659d.htm,2024 Volkswagen Taigun 1.5 TSI GT Plus DSG ES,₹16.50 LakhMake Your Offer,Mar 2024,Comprehensive,Petrol,5 Seats,"29,000 Kms",First Owner,1498 cc,Automatic,2024
https://www.cardekho.com/used-car-details/used-Ford-endeavour-32-titanium-at-4x4-cars-New-Delhi_ea2d8198-1fd8-4ec4-8248-6b599f8f7911.htm?adId=13748&adType=41,2017 Ford Endeavour 3.2 Titanium AT 4X4,₹16.50 LakhMake Your Offer,Jul 2017,-,Diesel,7 Seats,"1,00,000 Kms",Second Owner,3198 cc,Automatic,2017
https://www.cardekho.com/used-car-details/used-Mg-hector-plus-savvy-pro-cvt-cars-New-Delhi_99beba54-060a-4487-880f-667dc42b760d.htm,2024 MG Hector Plus Savvy Pro CVT,₹20 LakhMake Your Offer,Jan 2024,-,Petrol,6 Seats,"3,000 Kms",First Owner,1451 cc,Automatic,2024
https://www.cardekho.com/used-car-details/used-Mg-hector-plus-sharp-pro-cvt-cars-New-Delhi_8cf9e4db-4b15-4db8-b6d9-e8d217191ffe.htm,2024 MG Hector Plus Sharp Pro CVT,₹18.90 LakhMake Your Offer,Aug 2024,Third Party,Petrol,6 Seats,"9,800 Kms",First Owner,1451 cc,Automatic,2024
https://www.cardekho.com/used-car-details/used-Mahindra-xuv700-ax5-7-str-diesel-at-cars-New-Delhi_00556819-2603-40da-84a8-721e855b39c4.htm,2023 Mahindra XUV700 AX5 7 Str Diesel AT,₹18.75 LakhMake Your Offer,Jan 2023,Comprehensive,Diesel,7 Seats,"39,000 Kms",First Owner,2198 cc,Automatic,2023
https://www.cardekho.com/used-car-details/used-Mg-hector-15-turbo-savvy-pro-cvt-bsvi-cars-New-Delhi_5890688e-171b-47b2-9817-7b3e907dcaf6.htm,2023 MG Hector 1.5 Turbo Savvy Pro CVT BSVI,₹17.50 LakhMake Your Offer,Jul 2023,Comprehensive,Petrol,5 Seats,"18,000 Kms",First Owner,1451 cc,Automatic,2023
https://www.cardekho.com/used-car-details/used-Audi-a6-35-tdi-cars-New-Delhi_8eb55d80-3fcd-41e5-8512-3279bbd9fbcf.htm,2017 Audi A6 35 TDI,₹16.50 LakhMake Your Offer,Mar 2017,Comprehensive,Diesel,5 Seats,"37,000 Kms",First Owner,1968 cc,Automatic,2017
https://www.cardekho.com/used-car-details/used-Audi-a3-35-tfsi-premium-plus-cars-Gurgaon_5900cc72-3121-44ee-8a33-962f985fe4f6.htm?adId=17064&adType=41,2019 Audi A3 35 TFSI Premium Plus,₹19 LakhMake Your Offer,May 2019,Comprehensive,Petrol,5 Seats,"55,419 Kms",First Owner,1395 cc,Automatic,2019
https://www.cardekho.com/used-car-details/used-Mahindra-scorpio-n-z8-diesel-4x4-at-bsvi-cars-New-Delhi_d26f71ee-3725-4729-8dfa-8da0157b2c90.htm,2022 Mahindra Scorpio N Z8 Diesel 4x4 AT BSVI,₹19.25 LakhMake Your Offer,Jan 2022,Comprehensive,Diesel,7 Seats,"67,000 Kms",First Owner,2198 cc,Automatic,2022
https://www.cardekho.com/used-car-details/used-Audi-a4-30-tfsi-premium-plus-cars-New-Delhi_58264c9a-17c4-4c4a-b33c-31a7f6cb6433.htm,2016 Audi A4 30 TFSI Premium Plus,₹18.75 LakhMake Your Offer,Feb 2017,Comprehensive,Petrol,5 Seats,"45,068 Kms",First Owner,1395 cc,Automatic,2016
https://www.cardekho.com/used-car-details/used-Kia-seltos-gtx-plus-diesel-at-cars-New-Delhi_ffc1d68e-9d7c-44c2-837e-16727556de06.htm,2024 Kia Seltos GTX Plus Diesel AT,₹19 Lakh,2024,-,Diesel,5 Seats,"55,000 Kms",First Owner,1493 cc,Automatic,2024
https://www.cardekho.com/used-car-details/used-Mg-hector-blackstorm-cvt-cars-New-Delhi_6d8eae16-cc4e-426a-a401-5664415a900c.htm,2024 MG Hector BlackStorm CVT,₹18 LakhMake Your Offer,Jun 2024,Comprehensive,Petrol,5 Seats,"15,000 Kms",First Owner,1451 cc,Automatic,2024
https://www.cardekho.com/used-car-details/used-Kia-carnival-premium-8-str-cars-New-Delhi_bc3aac10-8e20-4011-afc8-9e093d6ef0e9.htm,2020 Kia Carnival Premium 8 STR,₹19.50 LakhMake Your Offer,Jan 2020,-,Diesel,8 Seats,"90,000 Kms",First Owner,2199 cc,Automatic,2020
https://www.cardekho.com/used-car-details/used-Honda-elevate-zx-cvt-non-rf-cars-New-Delhi_ad7fe3d2-9123-4fcc-8d48-b516fe65d437.htm,2025 Honda Elevate ZX CVT Non RF,₹15.50 Lakh,2025,-,Petrol,5 Seats,"30,000 Kms",First Owner,1498 cc,Automatic,2025
https://www.cardekho.com/used-car-details/used-Kia-seltos-gtx-plus-turbo-dct-cars-New-Delhi_f46cc537-4a25-43c1-90e8-c0b14959f0aa.htm,2024 Kia Seltos GTX Plus Turbo DCT,₹18.50 LakhMake Your Offer,Dec 2025,Comprehensive,Petrol,5 Seats,"24,500 Kms",First Owner,1482 cc,Automatic,2024
https://www.cardekho.com/used-car-details/used-Audi-a6-35-tdi-cars-New-Delhi_838528ff-a57d-4a55-a2c7-ffbeb7ba7c02.htm,2017 Audi A6 35 TDI,₹16.50 LakhMake Your Offer,Jan 2017,-,Diesel,5 Seats,"30,000 Kms",Second Owner,1968 cc,Automatic,2017
https://www.cardekho.com/used-car-details/used-Volvo-s60-d4-summum-cars-New-Delhi_01d3fbe3-a477-439b-ad85-aa1aa3787802.htm,2018 Volvo S60 D4 SUMMUM,₹17.25 LakhMake Your Offer,Jun 2018,Comprehensive,Diesel,5 Seats,"40,000 Kms",First Owner,1984 cc,Automatic,2018
https://www.cardekho.com/used-car-details/used-Kia-carens-luxury-plus-imt-bsvi-cars-New-Delhi_4d646b1a-e646-4bb1-813f-e5f0f2830967.htm,2023 Kia Carens Luxury Plus iMT BSVI,₹15.25 LakhMake Your Offer,Jul 2023,-,Petrol,7 Seats,"7,100 Kms",First Owner,1482 cc,Automatic,2023
https://www.cardekho.com/used-car-details/used-Mahindra-xuv700-ax7-at-bsvi-cars-New-Delhi_3c1285db-033c-4004-ae6c-419b7fd17b4b.htm,2022 Mahindra XUV700 AX7 AT BSVI,₹17.50 Lakh,2022,-,Petrol,7 Seats,"70,000 Kms",First Owner,1999 cc,Automatic,2022
https://www.cardekho.com/used-car-details/used-Mg-hector-sharp-cvt-cars-New-Delhi_7fbd9710-0bbe-4c5a-8ed3-83cb70f3434d.htm,2023 MG Hector Sharp CVT,₹15.50 LakhMake Your Offer,Apr 2023,Comprehensive,Petrol,5 Seats,"31,000 Kms",First Owner,1451 cc,Automatic,2023
https://www.cardekho.com/used-car-details/used-Mg-hector-plus-sharp-pro-cvt-7-str-cars-New-Delhi_c7c202e2-93e8-498c-bb44-8cec279767d0.htm,2024 MG Hector Plus Sharp Pro CVT 7 Str,₹17.25 LakhMake Your Offer,Apr 2024,Comprehensive,Petrol,7 Seats,"35,000 Kms",First Owner,1451 cc,Automatic,2024
https://www.cardekho.com/used-car-details/used-Tata-safari-xza-plus-at-bsvi-cars-New-Delhi_23711813-e791-4f9d-9827-504e551e0019.htm,2022 Tata Safari XZA Plus AT BSVI,₹15.75 LakhMake Your Offer,Mar 2022,Comprehensive,Diesel,7 Seats,"57,000 Kms",First Owner,1956 cc,Automatic,2022
https://www.cardekho.com/used-car-details/used-Audi-a4-35-tdi-technology-cars-New-Delhi_eb2cb537-ae66-4d81-b01d-ab7dce280737.htm,2017 Audi A4 35 TDI Technology,₹18 LakhMake Your Offer,Feb 2018,-,Diesel,5 Seats,"95,000 Kms",First Owner,1968 cc,Automatic,2017
https://www.cardekho.com/used-car-details/used-Kia-carens-luxury-plus-dct-6-str-bsvi-cars-New-Delhi_79c723b7-24e1-4cb4-adad-5f1858654d5f.htm,2023 Kia Carens Luxury Plus DCT 6 STR BSVI,₹15.25 LakhMake Your Offer,Sept 2023,Zero Dep,Petrol,6 Seats,"24,000 Kms",First Owner,1482 cc,Automatic,2023
https://www.cardekho.com/used-car-details/used-Audi-a6-35-tdi-cars-New-Delhi_e56059c0-1ddc-44f7-8aad-2edc189b2a6b.htm,2019 Audi A6 35 TDI,₹18.50 LakhMake Your Offer,May 2025,Comprehensive,Diesel,5 Seats,"55,000 Kms",Second Owner,1968 cc,Automatic,2019
https://www.cardekho.com/used-car-details/used-Tata-safari-pure-cars-New-Delhi_19d2a4cb-1ca9-4ec1-bc62-6fe7039f7c44.htm,2025 Tata Safari Pure,₹16.50 LakhMake Your Offer,Jun 2025,-,Diesel,7 Seats,"11,115 Kms",First Owner,1956 cc,Manual,2025
https://www.cardekho.com/used-car-details/used-Mg-hector-plus-sharp-pro-cvt-7-str-cars-New-Delhi_02f9d2ee-6347-40cd-81b2-e763597ec2d9.htm,2024 MG Hector Plus Sharp Pro CVT 7 Str,₹18.99 LakhMake Your Offer,Dec 2024,Comprehensive,Petrol,7 Seats,"11,000 Kms",First Owner,1451 cc,Automatic,2024
https://www.cardekho.com/used-car-details/used-Maruti-grand-vitara-alpha-at-bsvi-cars-New-Delhi_9251ea09-4b2d-40db-884f-21b94b948e71.htm,2022 Maruti Grand Vitara Alpha AT BSVI,₹16 LakhMake Your Offer,Jan 2022,-,Petrol,5 Seats,"42,000 Kms",First Owner,1462 cc,Automatic,2022
https://www.cardekho.com/used-car-details/used-Mahindra-xuv700-ax7-6str-at-cars-New-Delhi_b0373c5d-5b97-4f96-a2f3-987b4cbe3463.htm?adId=18527&adType=41,2024 Mahindra XUV700 AX7 6Str AT,₹20 Lakh,2024,-,Petrol,6 Seats,"15,000 Kms",First Owner,1999 cc,Automatic,2024
https://www.cardekho.com/used-car-details/used-Toyota-innova-crysta-24-gx-7-str-at-cars-New-Delhi_2ce82b92-322f-48e5-9d6d-793297050b7c.htm,2020 Toyota Innova Crysta 2.4 GX 7 STR AT,₹17.50 LakhMake Your Offer,Aug 2020,Comprehensive,Diesel,7 Seats,"33,000 Kms",First Owner,2393 cc,Automatic,2020
https://www.cardekho.com/used-car-details/used-Hyundai-tucson-gl-opt-at-cars-New-Delhi_43f65691-5c90-47de-b626-3f4205e9b5d6.htm,2020 Hyundai Tucson GL Opt AT,₹15.75 LakhMake Your Offer,Sept 2020,Comprehensive,Petrol,5 Seats,"30,000 Kms",First Owner,1999 cc,Automatic,2020
https://www.cardekho.com/used-car-details/used-Kia-seltos-gtx-diesel-at-cars-New-Delhi_e9e95d99-41d5-4685-bc1c-e432eb43bca5.htm,2024 Kia Seltos GTX Diesel AT,₹17.99 LakhMake Your Offer,Jan 2024,-,Diesel,5 Seats,"33,000 Kms",First Owner,1493 cc,Automatic,2024
https://www.cardekho.com/used-car-details/used-Mercedes-benz-c-class-prime-c-220d-cars-New-Delhi_fa425b43-ffb4-4e39-837d-3a3b4de49002.htm,2018 Mercedes-Benz C-Class Prime C 220d,₹18 LakhMake Your Offer,Jan 2018,-,Diesel,5 Seats,"85,000 Kms",Second Owner,1950 cc,Automatic,2018
https://www.cardekho.com/used-car-details/used-Kia-seltos-gtx-plus-turbo-dct-cars-New-Delhi_c667471c-3cfd-41f5-8544-5eab6c3b1b92.htm,2023 Kia Seltos GTX Plus Turbo DCT,₹17.25 LakhMake Your Offer,Nov 2023,Comprehensive,Petrol,5 Seats,"41,000 Kms",First Owner,1482 cc,Automatic,2023
https://www.cardekho.com/used-car-details/used-Audi-q3-30-tfsi-premium-fwd-cars-New-Delhi_bc2ce4ee-51a3-40b2-9078-e26e9ec0b74f.htm,2017 Audi Q3 30 TFSI Premium FWD,₹16.75 LakhMake Your Offer,Jan 2017,Comprehensive,Petrol,5 Seats,"58,000 Kms",First Owner,1395 cc,Automatic,2017
https://www.cardekho.com/used-car-details/used-Tata-safari-xza-plus-o-at-bsvi-cars-New-Delhi_1d2bfaf4-e0c6-4711-b1df-effac0fb065f.htm,2023 Tata Safari XZA Plus (O) AT BSVI,₹17.90 Lakh,2023,Zero Dep,Diesel,7 Seats,"30,000 Kms",First Owner,1956 cc,Automatic,2023
https://www.cardekho.com/used-car-details/used-Maruti-grand-vitara-alpha-plus-hybrid-cvt-cars-New-Delhi_e00e88c6-3ff6-46a8-b87d-ce40c0c3090d.htm,2024 Maruti Grand Vitara Alpha Plus Hybrid CVT,₹18.45 LakhMake Your Offer,Oct 2024,Zero Dep,Petrol,5 Seats,"18,000 Kms",First Owner,1490 cc,Automatic,2024
https://www.cardekho.com/used-car-details/used-Audi-q2-technology-cars-New-Delhi_71b6c1cd-b8da-416d-a3b3-96241a73a7ad.htm,2021 Audi Q2 Technology,₹19.25 LakhMake Your Offer,Oct 2021,Third Party,Petrol,5 Seats,"78,000 Kms",First Owner,1984 cc,Automatic,2021
https://www.cardekho.com/used-car-details/used-Jeep-compass-14-limited-opt-dct-bsvi-cars-New-Delhi_681082a8-3058-4a2d-b534-b02c1693d417.htm?adId=17152&adType=41,2021 Jeep Compass 1.4 Limited Opt DCT BSVI,₹18 Lakh,2021,-,Petrol,5 Seats,"50,000 Kms",Second Owner,1368 cc,Automatic,2021
https://www.cardekho.com/used-car-details/used-Mahindra-scorpio-n-z8l-6-str-at-bsvi-cars-New-Delhi_caff526b-2b07-4f2f-8b8f-239db98cb9ca.htm,2023 Mahindra Scorpio N Z8L 6 Str AT BSVI,₹19.75 LakhMake Your Offer,Jan 2023,-,Petrol,6 Seats,"10,000 Kms",First Owner,1997 cc,Automatic,2023
https://www.cardekho.com/used-car-details/used-Audi-q3-35-tdi-quattro-premium-plus-cars-New-Delhi_ae88a3fc-ddc1-4963-9d34-95f57909fbb3.htm,2018 Audi Q3 35 TDI Quattro Premium Plus,₹16.50 LakhMake Your Offer,Jan 2018,-,Diesel,5 Seats,"54,000 Kms",First Owner,1968 cc,Automatic,2018
https://www.cardekho.com/used-car-details/used-Skoda-octavia-style-cars-New-Delhi_905f1ae3-9cb4-4b17-a647-cc1773500c0c.htm,2021 Skoda Octavia Style,₹17.75 LakhMake Your Offer,Dec 2021,-,Petrol,5 Seats,"46,000 Kms",First Owner,1984 cc,Automatic,2021
https://www.cardekho.com/used-car-details/used-Hyundai-creta-sx-o-cars-New-Delhi_7644b071-8562-4649-b698-0a8e814d61aa.htm,2024 Hyundai Creta SX (O),₹15.90 LakhMake Your Offer,Jun 2024,Zero Dep,Petrol,5 Seats,"31,000 Kms",First Owner,1497 cc,Manual,2024
https://www.cardekho.com/used-car-details/used-Toyota-camry-hybrid-cars-New-Delhi_25015124-df0f-4769-b572-62ee7b42aaf3.htm,2017 Toyota Camry Hybrid,₹16.90 LakhMake Your Offer,Nov 2017,-,Petrol,5 Seats,"83,000 Kms",Second Owner,2494 cc,Automatic,2017
https://www.cardekho.com/used-car-details/used-Hyundai-creta-sx-o-cars-New-Delhi_520d43a6-3299-425b-81e5-202389866861.htm,2024 Hyundai Creta SX (O),₹18 LakhMake Your Offer,May 2024,-,Petrol,5 Seats,"9,500 Kms",First Owner,1497 cc,Manual,2024
https://www.cardekho.com/used-car-details/used-Toyota-fortuner-28-2wd-at-bsiv-cars-New-Delhi_7d1a082c-8026-4a43-bfad-904858d1c891.htm,2017 Toyota Fortuner 2.8 2WD AT BSIV,₹19.75 LakhMake Your Offer,Jan 2017,-,Diesel,7 Seats,"2,13,000 Kms",First Owner,2755 cc,Automatic,2017
https://www.cardekho.com/used-car-details/used-Mercedes-benz-gla-class-200-sport-edition-cars-New-Delhi_96e77d73-8114-4ef2-b750-4949e3cfd723.htm,2016 Mercedes-Benz GLA Class 200 Sport Edition,₹17.90 LakhMake Your Offer,Mar 2016,-,Petrol,5 Seats,"37,000 Kms",First Owner,1991 cc,Automatic,2016
https://www.cardekho.com/used-car-details/used-Jaguar-xe-prestige-cars-New-Delhi_1be52b12-94d6-47b7-bc73-53a255393967.htm,2017 Jaguar XE Prestige,₹17.50 LakhMake Your Offer,Jan 2017,-,Petrol,5 Seats,"40,000 Kms",First Owner,1999 cc,Automatic,2017
https://www.cardekho.com/used-car-details/used-Mg-hector-plus-sharp-pro-2023-2025-cars-New-Delhi_5145e16a-a069-46b5-b8b2-1a1264d85880.htm,2024 MG Hector Plus Sharp Pro 2023-2025,₹18.90 LakhMake Your Offer,Jul 2024,Third Party,Petrol,6 Seats,"9,800 Kms",First Owner,1451 cc,Manual,2024
https://www.cardekho.com/used-car-details/used-Honda-elevate-vx-cvt-non-rf-cars-New-Delhi_2d0f4247-0506-4902-8fbd-0ad5bdc1a8af.htm,2025 Honda Elevate VX CVT Non RF,₹16 Lakh,2025,-,Petrol,5 Seats,"10,000 Kms",First Owner,1498 cc,Automatic,2025
https://www.cardekho.com/used-car-details/used-Audi-a4-30-tfsi-premium-plus-cars-New-Delhi_da631181-d579-4d96-8818-5d66c21bf460.htm,2017 Audi A4 30 TFSI Premium Plus,₹19.90 LakhMake Your Offer,Nov 2017,-,Petrol,5 Seats,"29,000 Kms",Second Owner,1395 cc,Automatic,2017
https://www.cardekho.com/used-car-details/used-Toyota-innova-crysta-24-gx-at-cars-New-Delhi_ceb685da-2027-4583-82e7-08120b4d6eb4.htm,2020 Toyota Innova Crysta 2.4 GX AT,₹17 LakhMake Your Offer,Oct 2020,Comprehensive,Diesel,7 Seats,"64,000 Kms",First Owner,2393 cc,Automatic,2020
https://www.cardekho.com/used-car-details/used-Audi-a4-30-tfsi-technology-cars-New-Delhi_548a1caa-fba5-4a21-91f3-f6defc83f424.htm,2017 Audi A4 30 TFSI Technology,₹18.75 LakhMake Your Offer,Apr 2019,-,Petrol,5 Seats,"70,000 Kms",Second Owner,1395 cc,Automatic,2017
https://www.cardekho.com/used-car-details/used-Mahindra-scorpio-n-z8-diesel-at-bsvi-cars-New-Delhi_30f25761-0384-40ca-91e8-e958250c91e9.htm,2023 Mahindra Scorpio N Z8 Diesel AT BSVI,₹18.85 LakhMake Your Offer,Jan 2023,-,Diesel,7 Seats,"35,000 Kms",Second Owner,2198 cc,Automatic,2023
https://www.cardekho.com/used-car-details/used-Land-rover-discovery-sport-sd4-hse-luxury-7s-cars-New-Delhi_36b7cefd-ed6d-4714-92c3-f7948ee41652.htm,2016 Land Rover Discovery Sport SD4 HSE Luxury 7S,₹15.50 LakhMake Your Offer,Nov 2025,-,Diesel,7 Seats,"98,000 Kms",Second Owner,2179 cc,Automatic,2016
https://www.cardekho.com/used-car-details/used-Toyota-innova-crysta-24-gx-7-str-at-cars-New-Delhi_21e66474-fee8-45ef-9469-371a9940c539.htm?adId=17836&adType=41,2020 Toyota Innova Crysta 2.4 GX 7 STR AT,₹17 LakhMake Your Offer,Oct 2020,Comprehensive,Diesel,7 Seats,"35,000 Kms",Second Owner,2393 cc,Automatic,2020
https://www.cardekho.com/used-car-details/used-Audi-a6-35-tdi-cars-New-Delhi_8eb55d80-3fcd-41e5-8512-3279bbd9fbcf.htm,2017 Audi A6 35 TDI,₹16.50 LakhMake Your Offer,Mar 2017,Comprehensive,Diesel,5 Seats,"37,000 Kms",First Owner,1968 cc,Automatic,2017
https://www.cardekho.com/used-car-details/used-Mg-hector-15-turbo-savvy-pro-cvt-bsvi-cars-New-Delhi_4d24f2f0-7f0c-4857-b174-f4fc0980e09c.htm,2023 MG Hector 1.5 Turbo Savvy Pro CVT BSVI,₹16.50 LakhMake Your Offer,Jan 2023,-,Petrol,5 Seats,"17,000 Kms",First Owner,1451 cc,Automatic,2023
https://www.cardekho.com/used-car-details/used-Kia-carens-luxury-opt-diesel-at-cars-New-Delhi_1f28a4ca-450b-4708-a585-669537e4655b.htm,2024 Kia Carens Luxury Opt Diesel AT,₹17.60 LakhMake Your Offer,Jan 2024,Comprehensive,Diesel,7 Seats,"5,800 Kms",First Owner,1493 cc,Automatic,2024
https://www.cardekho.com/used-car-details/used-Mg-hector-15-turbo-sharp-pro-cvt-bsvi-cars-New-Delhi_e2b87ace-cb10-4121-af6c-a4d67e29b7b8.htm,2023 MG Hector 1.5 Turbo Sharp pro CVT BSVI,₹16.75 LakhMake Your Offer,Jun 2023,Third Party,Petrol,5 Seats,"18,000 Kms",First Owner,1451 cc,Automatic,2023
https://www.cardekho.com/used-car-details/used-Toyota-innova-crysta-28-gx-at-bsiv-cars-New-Delhi_779b8033-e6d8-45ab-b3e0-eac2750bff33.htm,2019 Toyota Innova Crysta 2.8 GX AT BSIV,₹15.25 LakhMake Your Offer,Aug 2019,-,Diesel,7 Seats,"67,213 Kms",First Owner,2755 cc,Automatic,2019
https://www.cardekho.com/used-car-details/used-Toyota-fortuner-28-2wd-at-bsiv-cars-New-Delhi_23357939-2c25-48b7-a0a0-a5b7e2a38a62.htm,2017 Toyota Fortuner 2.8 2WD AT BSIV,₹20 LakhMake Your Offer,Aug 2017,-,Diesel,7 Seats,"1,40,000 Kms",First Owner,2755 cc,Automatic,2017
https://www.cardekho.com/used-car-details/used-Land-rover-range-rover-evoque-20-td4-pure-cars-New-Delhi_5c08ec9b-e925-4727-baa7-2089c311d668.htm,2017 Land Rover Range Rover Evoque 2.0 TD4 Pure,₹19.50 LakhMake Your Offer,Dec 2017,Comprehensive,Diesel,5 Seats,"88,000 Kms",Second Owner,1999 cc,Automatic,2017
https://www.cardekho.com/used-car-details/used-Audi-a4-30-tfsi-premium-plus-cars-New-Delhi_2001b761-07ce-433b-9661-9167ad456b5e.htm,2018 Audi A4 30 TFSI Premium Plus,₹19.50 LakhMake Your Offer,May 2018,Comprehensive,Petrol,5 Seats,"95,000 Kms",First Owner,1395 cc,Automatic,2018
https://www.cardekho.com/used-car-details/used-Kia-seltos-gtx-plus-turbo-dct-cars-New-Delhi_db1be5d7-c0ef-4f89-a4a3-22b477c4f685.htm?adId=14497&adType=41,2023 Kia Seltos GTX Plus Turbo DCT,₹15.50 Lakh,2023,-,Petrol,5 Seats,"30,000 Kms",Second Owner,1482 cc,Automatic,2023
https://www.cardekho.com/used-car-details/used-Maruti-grand-vitara-alpha-plus-hybrid-cvt-bsvi-cars-New-Delhi_95ef0818-749b-4bc0-8d32-583e9cc45c67.htm,2023 Maruti Grand Vitara Alpha Plus Hybrid CVT BSVI,₹17.75 LakhMake Your Offer,Mar 2024,Comprehensive,Petrol,5 Seats,"20,000 Kms",First Owner,1490 cc,Automatic,2023
https://www.cardekho.com/used-car-details/used-Hyundai-alcazar-signature-o-at-cars-New-Delhi_9af5f5c6-4881-44e9-9ec6-97dd6666589f.htm,2023 Hyundai Alcazar Signature (O) AT,₹17.95 LakhMake Your Offer,Jun 2023,Comprehensive,Petrol,6 Seats,"12,000 Kms",First Owner,1999 cc,Automatic,2023
https://www.cardekho.com/used-car-details/used-Mg-astor-sharp-cvt-bsvi-cars-New-Delhi_08be8271-bf34-434a-8753-cc75edb97d0c.htm,2022 MG Astor Sharp CVT BSVI,₹10.25 LakhMake Your Offer,Dec 2022,Comprehensive,Petrol,5 Seats,"54,000 Kms",First Owner,1498 cc,Automatic,2022
https://www.cardekho.com/used-car-details/used-Mahindra-thar-lx-4wd-hard-top-at-bsvi-cars-New-Delhi_f77d5ca8-16e7-48b7-87ce-57449921b62d.htm,2022 Mahindra Thar LX 4WD Hard Top AT BSVI,₹13.45 LakhMake Your Offer,Jan 2022,-,Petrol,4 Seats,"11,000 Kms",First Owner,1997 cc,Automatic,2022
https://www.cardekho.com/used-car-details/used-Kia-seltos-htx-ivt-g-cars-New-Delhi_6bc7748f-615f-4fea-baf4-7bc51b1528b8.htm,2020 Kia Seltos HTX IVT G,₹11.25 LakhMake Your Offer,Jul 2020,Comprehensive,Petrol,5 Seats,"48,000 Kms",First Owner,1497 cc,Automatic,2020
https://www.cardekho.com/used-car-details/used-Toyota-hyryder-s-hybrid-bsvi-cars-New-Delhi_1d81870a-ae70-42b5-9eac-6d9d1217832a.htm,2022 Toyota Hyryder S HYBRID BSVI,₹12.57 LakhMake Your Offer,Jan 2023,Comprehensive,Petrol,5 Seats,"38,000 Kms",First Owner,1490 cc,Automatic,2022
https://www.cardekho.com/used-car-details/used-Jeep-compass-20-limited-plus-at-cars-New-Delhi_b12ca070-af31-4dd5-96aa-b956654d2b01.htm,2020 Jeep Compass 2.0 Limited Plus AT,₹12.95 LakhMake Your Offer,Aug 2020,Third Party,Diesel,5 Seats,"68,000 Kms",First Owner,1956 cc,Automatic,2020
https://www.cardekho.com/used-car-details/used-Honda-cr-v-20l-2wd-at-cars-New-Delhi_0d8b9d7b-fa05-424e-adb4-e9e89cb8d880.htm,2016 Honda CR-V 2.0L 2WD AT,₹11.90 LakhMake Your Offer,Jun 2016,-,Petrol,5 Seats,"55,000 Kms",Second Owner,1997 cc,Automatic,2016
https://www.cardekho.com/used-car-details/used-Mahindra-thar-lx-4wd-hard-top-diesel-bsvi-cars-New-Delhi_23098800-423e-4029-923a-ca339a4e4c0b.htm,2022 Mahindra Thar LX 4WD Hard Top Diesel BSVI,₹13.25 LakhMake Your Offer,Jan 2022,-,Diesel,4 Seats,"40,000 Kms",First Owner,2184 cc,Manual,2022
https://www.cardekho.com/used-car-details/used-Hyundai-venue-s-opt-turbo-dct-cars-New-Delhi_3d592628-e096-4ae1-9d12-ef11bd6ff9a7.htm,2023 Hyundai Venue S Opt Turbo DCT,₹10.25 LakhMake Your Offer,Dec 2023,Comprehensive,Petrol,5 Seats,"34,000 Kms",First Owner,998 cc,Automatic,2023
https://www.cardekho.com/used-car-details/used-Hyundai-creta-sx-cars-New-Delhi_766483ee-642b-49d4-86a9-5845daca5bc0.htm,2023 Hyundai Creta SX,₹12.95 LakhMake Your Offer,Jul 2023,-,Petrol,5 Seats,"39,000 Kms",First Owner,1497 cc,Manual,2023
https://www.cardekho.com/used-car-details/used-Kia-seltos-htx-ivt-cars-New-Delhi_ca4e41d7-150c-4751-82c6-45ce8f829bcc.htm,2023 Kia Seltos HTX IVT,₹13.25 LakhMake Your Offer,Apr 2023,Comprehensive,Petrol,5 Seats,"67,000 Kms",First Owner,1497 cc,Automatic,2023
https://www.cardekho.com/used-car-details/used-Hyundai-venue-sx-cars-New-Delhi_a4495352-6630-4c86-94d2-3ff67a433936.htm,2023 Hyundai Venue SX,₹10.50 LakhMake Your Offer,Jan 2023,-,Petrol,5 Seats,"38,000 Kms",First Owner,1197 cc,Manual,2023
https://www.cardekho.com/used-car-details/used-Bmw-5-series-520d-luxury-line-cars-New-Delhi_320c9d3a-e5e1-4f39-8b2b-ebca60650cc6.htm?adId=17524&adType=41,2017 BMW 5 Series 520d Luxury Line,₹12.25 Lakh,2017,Comprehensive,Diesel,5 Seats,"71,000 Kms",Third Owner,1995 cc,Automatic,2017
https://www.cardekho.com/used-car-details/used-Hyundai-creta-sx-bsvi-cars-New-Delhi_430b5053-ba4d-412e-b2c6-5fb5b9449dfb.htm?adId=17140&adType=41,2022 Hyundai Creta SX BSVI,₹11.50 Lakh,2022,Comprehensive,Petrol,5 Seats,"37,200 Kms",First Owner,1497 cc,Manual,2022
https://www.cardekho.com/used-car-details/used-Mahindra-thar-lx-4wd-hard-top-at-bsvi-cars-New-Delhi_a769bcf4-8a63-4cdb-92cf-2aeda8273615.htm,2021 Mahindra Thar LX 4WD Hard Top AT BSVI,₹11.50 LakhMake Your Offer,Sept 2021,Comprehensive,Petrol,4 Seats,"35,000 Kms",First Owner,1997 cc,Automatic,2021
https://www.cardekho.com/used-car-details/used-Mahindra-thar-lx-4wd-hard-top-at-bsvi-cars-New-Delhi_594c92c3-a0a3-405e-95c2-85bfb9dea66e.htm,2022 Mahindra Thar LX 4WD Hard Top AT BSVI,₹12.25 LakhMake Your Offer,Apr 2022,-,Petrol,4 Seats,"72,245 Kms",Second Owner,1997 cc,Automatic,2022
